Altium Designer Pick and Place Locations
E:\#pd\External project\12_Terra Spray\Project Outputs for Terra_Spray\08_Pick and Place\Pick Place\Pick Place for Terra Spray panel 16 pcb.csv

========================================================================================================================
File Design Information:

Date:       23-09-21
Time:       19:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C20","Cap","BottomLayer","CAPC0402","30.8158","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","29.7998","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","27.5900","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","23.9000","108.2600","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","21.7226","95.3526","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","28.5552","96.0892","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","34.2750","103.3350","90",""
"C12","Capacitor","TopLayer","CAPC0402","37.5750","103.3350","90",""
"C9","Cap","TopLayer","CAPC0402","35.1189","105.3792","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","35.1189","107.8684","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","19.1572","87.3516","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","28.8750","113.6100","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","18.0650","92.5078","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","27.0312","93.7016","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","35.3116","106.2584","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","35.3116","109.3064","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","19.0511","91.6850","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","35.1189","109.1130","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","35.4000","110.5100","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","29.4250","100.9350","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","20.4018","91.6849","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","35.9720","93.7016","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","29.3680","106.0206","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","17.2522","102.6932","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","16.0076","108.3574","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","16.1500","91.6850","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","17.6006","91.6850","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","23.6750","86.7100","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","12.5466","88.6978","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","10.8895","88.7218","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","13.4678","112.7535","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","13.4674","109.6528","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","8.7681","88.7158","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","10.2750","85.7600","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","33.9654","93.6762","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","31.4250","100.9350","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","33.4258","100.4592","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","14.2296","99.1118","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","16.7696","111.9896","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","35.9000","80.8102","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","9.7500","80.8600","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","17.2500","80.8600","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","27.0310","86.7419","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","25.7750","150.6900","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","29.0250","149.6150","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","38.9000","141.8966","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","16.7696","152.6936","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","30.4000","137.8400","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","30.2064","133.1356","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","27.6662","131.0048","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","24.2880","131.0126","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","35.9250","143.0148","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","35.0439","145.8038","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","25.1262","134.2278","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"D2","B0540W","BottomLayer","SOD123_-_DUPLICATE","25.1262","136.2852","0","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"C26","Cap","BottomLayer","CAPC0402","27.1750","148.1900","270","Ceramic Capacitor,100nF,0402,6.3V"
"C25","Cap","BottomLayer","CAPC0402","29.9750","148.1900","270","Ceramic Capacitor,100nF,0402,6.3V"
"C24","Cap","BottomLayer","CAPC0402","32.3144","142.9574","180","Ceramic Capacitor,100nF,0402,6.3V"
"C23","Cap","TopLayer","capc0402","28.0250","150.7150","360","Ceramic Capacitor,18pF,0402,50V"
"C22","Cap","TopLayer","capc0402","30.0250","150.7150","180","Ceramic Capacitor,18pF,0402,50V"
"C21","Cap","BottomLayer","CAPC0402","21.7226","131.9926","270","Ceramic Capacitor,100nF,0402,6.3
V"
"C20","Cap","BottomLayer","CAPC0402","30.8158","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","29.7998","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","27.5900","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","23.9000","147.4400","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","21.7226","134.5326","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","28.5552","135.2692","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","34.2750","142.5150","90",""
"C12","Capacitor","TopLayer","CAPC0402","37.5750","142.5150","90",""
"C9","Cap","TopLayer","CAPC0402","35.1189","144.5592","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","35.1189","147.0484","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","19.1572","126.5316","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","28.8750","152.7900","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","18.0650","131.6878","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","27.0312","132.8816","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","35.3116","145.4384","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","35.3116","148.4864","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","19.0511","130.8650","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","35.1189","148.2930","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","35.4000","149.6900","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","29.4250","140.1150","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","20.4018","130.8649","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","35.9720","132.8816","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","29.3680","145.2006","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","17.2522","141.8732","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","16.0076","147.5374","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","16.1500","130.8650","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","17.6006","130.8650","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","23.6750","125.8900","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","12.5466","127.8778","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","10.8895","127.9018","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","13.4678","151.9335","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","13.4674","148.8328","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","8.7681","127.8958","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","10.2750","124.9400","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","33.9654","132.8562","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","31.4250","140.1150","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","33.4258","139.6392","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","14.2296","138.2918","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","16.7696","151.1696","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","35.9000","119.9902","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","9.7500","120.0400","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","17.2500","120.0400","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","27.0310","125.9219","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","71.1250","33.1500","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","74.3750","32.0750","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","84.2500","24.3566","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","62.1196","35.1536","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","75.7500","20.3000","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","75.5564","15.5956","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","73.0162","13.4648","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","69.6380","13.4726","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","81.2750","25.4748","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","80.3939","28.2638","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","70.4762","16.6878","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"D2","B0540W","BottomLayer","SOD123_-_DUPLICATE","70.4762","18.7452","0","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"C26","Cap","BottomLayer","CAPC0402","72.5250","30.6500","270","Ceramic Capacitor,100nF,0402,6.3V"
"C25","Cap","BottomLayer","CAPC0402","75.3250","30.6500","270","Ceramic Capacitor,100nF,0402,6.3V"
"C24","Cap","BottomLayer","CAPC0402","77.6644","25.4174","180","Ceramic Capacitor,100nF,0402,6.3V"
"C23","Cap","TopLayer","capc0402","73.3750","33.1750","360","Ceramic Capacitor,18pF,0402,50V"
"C22","Cap","TopLayer","capc0402","75.3750","33.1750","180","Ceramic Capacitor,18pF,0402,50V"
"C21","Cap","BottomLayer","CAPC0402","67.0726","14.4526","270","Ceramic Capacitor,100nF,0402,6.3
V"
"C20","Cap","BottomLayer","CAPC0402","76.1658","24.9174","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","75.1498","24.9174","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","72.9400","24.9174","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","69.2500","29.9000","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","67.0726","16.9926","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","73.9052","17.7292","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","79.6250","24.9750","90",""
"C12","Capacitor","TopLayer","CAPC0402","82.9250","24.9750","90",""
"C9","Cap","TopLayer","CAPC0402","80.4689","27.0192","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","80.4689","29.5084","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","64.5072","8.9916","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","74.2250","35.2500","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","63.4150","14.1478","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","72.3812","15.3416","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","80.6616","27.8984","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","80.6616","30.9464","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","64.4011","13.3250","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","80.4689","30.7530","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","80.7500","32.1500","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","74.7750","22.5750","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","65.7518","13.3249","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","81.3220","15.3416","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","74.7180","27.6606","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","62.6022","24.3332","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","61.3576","29.9974","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","61.5000","13.3250","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","62.9506","13.3250","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","69.0250","8.3500","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","57.8966","10.3378","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","56.2395","10.3618","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","58.8178","34.3935","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","58.8174","31.2928","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","54.1181","10.3558","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","55.6250","7.4000","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","79.3154","15.3162","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","76.7750","22.5750","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","78.7758","22.0992","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","59.5796","20.7518","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","62.1196","33.6296","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","81.2500","2.4502","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","55.1000","2.5000","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","62.6000","2.5000","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","72.3810","8.3819","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","71.1250","72.3300","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","74.3750","71.2550","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","84.2500","63.5366","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","62.1196","74.3336","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","75.7500","59.4800","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
